# gamma	CrltnCoeff
0.000000000000000000e+00 2.348372775567548164e-03
1.600000080391088264e-02 -7.599333987398781964e-02
3.200000046590289332e-02 -5.050890834248417810e-02
4.800000241173264792e-02 -6.555954794820732789e-02
6.400000093180578664e-02 -1.018741530957680136e-01
8.000000516147327823e-02 -1.295783550859037070e-01
9.600000368154643082e-02 -1.831485868894507651e-01
1.120000079112139085e-01 -1.921671544435787915e-01
1.280000018636115733e-01 -2.488287328266756970e-01
1.440000060932790926e-01 -2.624301827727308911e-01
1.600000103229465842e-01 -2.964707529100108485e-01
1.760000145526140480e-01 -3.093064867920458094e-01
1.920000085050116989e-01 -2.939976599503884569e-01
